Token,NE
3/20/2010,B-Expiration Date
Agreement,O
with,O
Lehman,B-Counterparty
Brothers,I-Counterparty
dated,O
12/21/2004,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
2.70%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
The,O
Portfolio,O
makes,O
a,O
payment,O
of,O
the,O
notional,O
amount,O
only,O
upon,O
a,O
default,O
event,O
on,O
the,O
reference,O
"entity,",O
a,O
Revolving,O
Credit,O
Agreement,O
issued,O
by,O
Six,B-Reference Entity
Flag,I-Reference Entity
Theme,I-Reference Entity
Parks.,I-Reference Entity
\\,
"65,00,000",B-Notional Amount
USD,O
3/20/2010,B-Expiration Date
Agreement,O
with,O
Lehman,B-Counterparty
Brothers,I-Counterparty
dated,O
3/16/2005,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
2.20%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
The,O
Portfolio,O
makes,O
a,O
payment,O
of,O
the,O
notional,O
amount,O
only,O
upon,O
a,O
default,O
event,O
on,O
the,O
reference,O
"entity,",O
a,O
Revolving,O
Credit,O
Agreement,O
issued,O
by,O
"Inergy,",B-Reference Entity
L.P.,I-Reference Entity
\\,
"30,00,000",B-Notional Amount
USD,O
6/20/2010,B-Expiration Date
Agreement,O
with,O
Lehman,B-Counterparty
Brothers,I-Counterparty
dated,O
04/01/05,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
2%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
The,O
Portfolio,O
makes,O
a,O
payment,O
of,O
the,O
notional,O
amount,O
only,O
upon,O
a,O
default,O
event,O
on,O
the,O
reference,O
"entity,",O
a,O
Revolving,O
Credit,O
Agreement,O
issued,O
by,O
Pinnacle,B-Reference Entity
"Entertainment,",I-Reference Entity
Inc.,I-Reference Entity
\\,
"30,00,000",B-Notional Amount
USD,O
3/20/2011,B-Expiration Date
Agreement,O
with,O
Lehman,B-Counterparty
Brothers,I-Counterparty
dated,O
03/03/05,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
1.85%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
The,O
Portfolio,O
makes,O
a,O
payment,O
of,O
the,O
notional,O
amount,O
only,O
upon,O
a,O
default,O
event,O
on,O
the,O
reference,O
"entity,",O
a,O
Revolving,O
Credit,O
Agreement,O
issued,O
by,O
Syniverse,B-Reference Entity
"Technologies,",I-Reference Entity
Inc.,I-Reference Entity
\\,
"40,00,000",B-Notional Amount
USD,O
04/06/09,B-Expiration Date
Agreement,O
with,O
JP,B-Counterparty
Morgan,I-Counterparty
Chase,I-Counterparty
Bank,I-Counterparty
dated,O
04/06/04,O
to,O
pay,O
3.60%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
In,O
exchange,O
for,O
that,O
periodic,O
"payment,",O
upon,O
a,O
default,O
event,O
in,O
"Turkey,",B-Reference Entity
JP,O
Morgan,O
Chase,O
Bank,O
agrees,O
to,O
pay,B-o
the,O
Portfolio,O
the,O
notional,O
amount,O
of,O
the,O
swap.,O
To,O
receive,O
that,O
"payment,",O
the,O
Portfolio,O
must,O
deliver,B-o
a,O
bond,O
(with,O
par,O
value,O
equal,O
to,O
the,O
notional,O
amount,O
of,O
the,O
swap),O
issued,O
by,O
Turkey,O
to,O
JP,O
Morgan,O
Chase,B-o
Bank.,O
\\,
"1,00,00,000",B-Notional Amount
USD,O
04/01/10,B-Expiration Date
Agreement,O
with,O
JP,B-Counterparty
Morgan,I-Counterparty
Chase,I-Counterparty
Bank,I-Counterparty
dated,O
04/01/05,O
to,O
pay,B-Direction of Trade
3.16%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
In,O
exchange,O
for,O
that,O
periodic,O
"payment,",O
upon,O
a,O
default,O
event,O
in,O
"Turkey,",B-Reference Entity
JP,O
Morgan,O
Chase,B-o
Bank,O
agrees,O
to,O
pay,O
the,O
Portfolio,O
the,O
notional,O
amount,O
of,O
the,O
swap.,O
To,O
receive,O
that,O
"payment,",O
the,B-o
Portfolio,O
must,O
deliver,O
a,O
bond,O
(with,O
par,O
value,O
equal,O
to,O
the,O
notional,O
amount,O
of,O
the,O
swap),O
issued,O
by,O
Turkey,B-o
to,O
JP,O
Morgan,O
Chase,O
Bank.,O
\\,
"50,00,000",B-Notional Amount
USD,O
04/06/14,B-Expiration Date
Agreement,O
with,O
Morgan,B-Counterparty
Stanley,I-Counterparty
Capital,I-Counterparty
Services,I-Counterparty
Inc.,I-Counterparty
dated,O
04/06/04,O
to,O
pay,B-Direction of Trade
4.05%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
In,O
exchange,O
for,O
that,O
periodic,O
"payment,",O
upon,O
a,O
default,O
event,O
in,O
"Turkey,",B-Reference Entity
Morgan,O
Stanley,O
Capital,B-o
Services,O
Inc.,O
agrees,O
to,O
pay,O
the,O
Portfolio,O
the,O
notional,O
amount,O
of,O
the,O
swap.,O
To,O
receive,O
that,O
"payment,",O
the,O
Portfolio,O
must,B-o
deliver,O
a,O
bond,O
(with,O
par,O
value,O
equal,O
to,O
the,O
notional,O
amount,O
of,O
the,O
swap),O
issued,O
by,O
Turkey,B-o
to,O
Morgan,O
Stanley,O
Capital,O
Services,O
Inc.,O
\\,
"40,00,000",B-Notional Amount
USD,O
1/29/2009,B-Expiration Date
Agreement,O
with,O
Morgan,B-Counterparty
Stanley,I-Counterparty
Capital,I-Counterparty
Services,I-Counterparty
Inc.,I-Counterparty
dated,O
1/29/2004,O
to,O
pay,B-Direction of Trade
3.40%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
In,O
exchange,O
for,O
that,O
periodic,O
"payment,",O
upon,O
a,O
default,O
event,O
in,O
"Turkey,",B-Reference Entity
Morgan,O
Stanley,O
Capital,B-o
Services,O
Inc.,O
agrees,O
to,O
pay,O
the,O
Portfolio,O
the,O
notional,O
amount,O
of,O
the,O
swap.,O
To,O
receive,O
that,O
"payment,",O
the,O
Portfolio,B-o
must,O
deliver,O
a,O
bond,O
(with,O
par,O
value,O
equal,O
to,O
the,O
notional,O
amount,O
of,O
the,O
swap),O
issued,O
by,O
Turkey,O
to,B-o
Morgan,O
Stanley,O
Capital,O
Services,O
Inc.,O
\\,
"3,00,00,000",B-Notional Amount
USD,O
6/20/2020,B-Expiration Date
Agreement,O
with,O
Goldman,B-Reference Entity
Sachs,I-Reference Entity
Capital,I-Reference Entity
Markets,I-Reference Entity
"L.P.,",I-Reference Entity
dated,O
3/23/2005,O
to,O
pay,B-Direction of Trade
0.20%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
In,O
exchange,O
for,O
that,O
periodic,O
"payment,",O
upon,O
a,O
default,O
event,O
in,O
"Greece,",B-Reference Entity
Goldman,O
Sachs,O
Capital,O
Markets,B-o
L.P.,O
agrees,O
to,O
pay,O
the,O
Portfolio,O
the,O
notional,O
amount,O
of,O
the,O
swap.,O
To,O
receive,O
that,O
"payment,",O
the,O
Portfolio,B-o
must,O
deliver,O
a,O
bond,O
(with,O
par,O
value,O
equal,O
to,O
the,O
notional,O
amount,O
of,O
the,O
swap),O
issued,O
by,O
Greece,B-o
to,O
Goldman,O
Sachs,O
Capital,O
Markets,O
L.P.,O
\\,
"2,00,00,000",B-Notional Amount
USD,O
6/20/2020,B-Expiration Date
Agreement,O
with,O
Credit,B-Counterparty
Suisse,I-Counterparty
First,I-Counterparty
Boston,I-Counterparty
dated,O
3/23/2005,O
to,O
pay,O
0.20%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.In,O
exchange,O
for,O
that,O
periodic,O
"payment,",O
upon,O
a,O
default,O
event,O
in,O
"Greece,",B-Reference Entity
Credit,O
Suisse,O
First,O
Boston,B-o
agrees,O
to,O
pay,O
the,O
Portfolio,O
the,O
notional,O
amount,O
of,O
the,O
swap.,O
To,O
receive,O
that,O
"payment,",O
the,O
Portfolio,B-o
must,O
deliver,O
a,O
bond,O
(with,O
par,O
value,O
equal,O
to,O
the,O
notional,O
amount,O
of,O
the,O
swap),O
issued,O
by,O
Greece,B-o
to,O
Credit,O
Suisse,O
First,O
Boston.,O
