Token,NE
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
14,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.12%,B-Fixed Rate
0.48%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
MeadWestavaco,B-Reference Entity
"Corp.,",I-Reference Entity
"6.85%,",O
04/01/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
28,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.12%,B-Fixed Rate
0.46%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Autozone,B-Reference Entity
"Inc.,",I-Reference Entity
"5.875%,",O
10/15/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.30%,B-Fixed Rate
1.18%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Gap,B-Reference Entity
"Inc.,",I-Reference Entity
"8.80%,",O
12/15/2008.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
12/20/11,B-Expiration Date
$,O
750,B-Notional Amount
\\,
Fund,O
pays,O
quarterly,O
payment,O
of,O
0.14%,B-Fixed Rate
0.55%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Black,B-Reference Entity
&,I-Reference Entity
Decker,I-Reference Entity
"Corp.,",I-Reference Entity
"7.125%,",O
06/01/2011.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
20,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.05%,B-Fixed Rate
0.19%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
TJX,B-Reference Entity
Companies,I-Reference Entity
"Inc.,",I-Reference Entity
"7.45%,",O
12/15/2009.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,O
quarterly,O
payment,O
of,O
0.06%,B-Fixed Rate
0.22%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Nucor,B-Reference Entity
"Corp.,",I-Reference Entity
"4.875%,",O
10/01/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
15,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.03%,B-Fixed Rate
0.13%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Lowes,B-Reference Entity
Companies,I-Reference Entity
"Inc.,",I-Reference Entity
"8.25%,",O
06/01/2010.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Merrill,B-Counterparty
Lynch,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
18,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.30%,B-Fixed Rate
1.18%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Gap,B-Reference Entity
"Inc.,",I-Reference Entity
"8.80%,",O
12/15/2008.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
16,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.19%,B-Fixed Rate
0.77%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Jones,B-Reference Entity
Apparel,I-Reference Entity
"Group,",I-Reference Entity
"5.125%,",O
11/15/2014.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.04%,B-Fixed Rate
0.14%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Pitney,B-Reference Entity
Bowes,I-Reference Entity
"Inc.,",I-Reference Entity
"4.625%,",O
10/01/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/11,B-Expiration Date
"1,500",B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.11%,B-Fixed Rate
0.44%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Darden,B-Reference Entity
Restaurants,I-Reference Entity
"Inc,",I-Reference Entity
"7.125%,",O
02/01/2016.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.12%,B-Fixed Rate
0.48%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
The,B-Reference Entity
Limited,I-Reference Entity
"Inc.,",I-Reference Entity
"6.125%,",O
12/01/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
72,O
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.14%,B-Fixed Rate
0.55%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Black,B-Reference Entity
&,I-Reference Entity
Decker,I-Reference Entity
"Corp.,",I-Reference Entity
"7.125%,",O
06/01/2011.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
34,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.23%,B-Fixed Rate
0.90%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
MDC,B-Reference Entity
Holdings,I-Reference Entity
"Inc.,",I-Reference Entity
"5.50%,",O
05/15/2013.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Merrill,B-Counterparty
Lynch,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
21,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.10%,B-Fixed Rate
0.39%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Hasbro,B-Reference Entity
"Inc.,",I-Reference Entity
"2.75%,",O
12/01/2021.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
Dec-11,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.09%,B-Fixed Rate
0.34%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Whirlpool,B-Reference Entity
"Corp.,",I-Reference Entity
"7.75%,",O
07/15/2016.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.11%,B-Fixed Rate
0.45%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Weyerhaeuser,B-Reference Entity
"Co.,",I-Reference Entity
"6.75%,",O
03/15/2012.,O
\\,
Upon,O
a,O
defined,B-O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.06%,B-Fixed Rate
0.22%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Nucor,B-Reference Entity
"Corp.,",I-Reference Entity
"4.875%,",O
10/01/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
12/20/11,B-Expiration Date
$,O
750,B-Notional Amount
$,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.07%,B-Fixed Rate
0.27%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Southwest,B-Reference Entity
Airlines,I-Reference Entity
"Co.,",I-Reference Entity
"6.50%,",O
03/01/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
59,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.10%,B-Fixed Rate
0.39%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Radian,B-Reference Entity
Group,I-Reference Entity
"Inc.,",I-Reference Entity
"7.75%,",O
06/01/2011.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
12/20/13,B-Expiration Date
750,B-Notional Amount
215,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.09%,B-Fixed Rate
0.37%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Johnson,B-Reference Entity
Controls,I-Reference Entity
"Inc.,",I-Reference Entity
"7.125%,",O
07/15/2017.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/13,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.09%,B-Fixed Rate
0.35%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
MGIC,B-Reference Entity
Investment,I-Reference Entity
"Corp.,",I-Reference Entity
"6.00%,",O
03/15/2007.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/13,B-Expiration Date
750,B-Notional Amount
154,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.09%,B-Fixed Rate
0.35%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
PMI,B-Reference Entity
Group,I-Reference Entity
"Inc.,",I-Reference Entity
"6.00%,",O
09/15/2016.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
12/20/13,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.10%,B-Fixed Rate
0.39%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Johnson,B-Reference Entity
Controls,I-Reference Entity
"Inc.,",I-Reference Entity
"7.125%,",O
07/15/2017.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/13,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.09%,B-Fixed Rate
0.35%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Alcan,B-Reference Entity
"Inc.,",I-Reference Entity
"4.875%,",O
09/15/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/13,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.10%,B-Fixed Rate
0.39%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Radian,B-Reference Entity
Group,I-Reference Entity
"Inc.,",I-Reference Entity
"7.75%,",O
06/01/2011.,O
\\,
Upon,O
a,O
defined,B-O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
Dec-13,B-Expiration Date
750,B-Notional Amount
237,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.09%,B-Fixed Rate
0.35%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
PMI,B-Reference Entity
Group,I-Reference Entity
"Inc.,",I-Reference Entity
"6.00%,",O
09/15/2016.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/13,B-Expiration Date
750,B-Notional Amount
165,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.09%,B-Fixed Rate
0.35%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
MGIC,B-Reference Entity
Investment,I-Reference Entity
"Corp.,",I-Reference Entity
"6.00%,",O
03/15/2007.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
he,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
12/20/13,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.07%,B-Fixed Rate
0.28%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Nordstrom,B-Reference Entity
"Inc.,",I-Reference Entity
"6.95%,",O
03/15/2028.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
12/20/13,B-Expiration Date
750,B-Notional Amount
19,O
\\,
Fund,O
pays,O
quarterly,O
payment,O
of,O
0.06%,B-Fixed Rate
0.25%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Dow,B-Reference Entity
Chemical,I-Reference Entity
"Inc.,",I-Reference Entity
"6.00%,",O
10/01/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Merrill,B-Counterparty
Lynch,I-Counterparty
12/20/13,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.18%,B-Fixed Rate
0.73%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Masco,B-Reference Entity
"Corp.,",I-Reference Entity
"5.875%,",O
07/15/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
12/20/13,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.07%,B-Fixed Rate
0.26%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Dow,B-Reference Entity
Chemical,I-Reference Entity
"Inc.,",I-Reference Entity
"6.00%,",O
10/01/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.07%,B-Notional Amount
0.28%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Nordstrom,B-Reference Entity
"Inc.,",I-Reference Entity
"6.95%,",O
03/15/2028.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Merrill,B-Counterparty
Lynch,I-Counterparty
12/20/13,B-Expiration Date
$,O
750,B-Notional Amount
$,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.05%,B-Fixed Rate
0.22%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Carnival,B-Reference Entity
"Corp.,",I-Reference Entity
"6.65%,",O
1/15/2028.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
06/20/12,B-Expiration Date
650,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.05%,B-Fixed Rate
0.20%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Campbell,B-Reference Entity
Soup,I-Reference Entity
"Co.,",I-Reference Entity
"4.875,",O
10/01/2013.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
06/20/14,B-Expiration Date
"1,150",B-Notional Amount
\\,
Fund,O
pays,O
quarterly,O
payment,O
of,O
0.08%,B-Fixed Rate
0.32%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Washington,B-Reference Entity
Mutual,I-Reference Entity
"Co.,",I-Reference Entity
"5.25%,",O
09/15/2017.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
03/20/12,B-Expiration Date
700,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.11%,B-Fixed Rate
0.45%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Weyerhaeuser,B-Reference Entity
"Co.,",I-Reference Entity
"6.75%,",O
03/15/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Merrill,B-Counterparty
Lynch,I-Counterparty
03/20/12,B-Expiration Date
750,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.08%,B-Fixed Rate
0.32%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Alcan,B-Reference Entity
"Inc.,",I-Reference Entity
"4.875%,",O
9/15/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
03/20/14,B-Expiration Date
650,B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.165,B-Fixed Rate
0.66%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
